,gibbs,temperature,name
1432,8.11,25.0,Guanyl-specific ribonuclease T1n
1570,24.0,25.0,Chitinase 40
1805,5.9,25.0,Protein G
1806,3.2,25.0,Protein G
1807,3.5,25.0,Protein G
1808,6.4,25.0,Protein G
1809,5.6,25.0,Protein G
1810,5.4,25.0,Protein G
1811,2.8,25.0,Protein G
1812,5.2,25.0,Protein G
1813,5.8,25.0,Protein G
1972,3.1,25.0,Outer mitochondrial membrane cytochrome b5
2074,2.58,25.0,FluA
2092,7.19,25.0,Disulfide bond formation protein D
2093,7.14,25.0,Disulfide bond formation protein D
2094,8.19,25.0,Disulfide bond formation protein D
2095,8.42,25.0,Disulfide bond formation protein D
2096,6.13,25.0,Disulfide bond formation protein D
2188,17.9,25.0,Gp41 envelope protein
2189,19.4,25.0,Gp41 envelope protein
2190,18.9,25.0,Gp41 envelope protein
2401,3.11,14.5,CYP 101.00
2402,2.63,14.0,CYP 101.00
